document_url,question_type,question
https://medlineplus.gov/druginfo/meds/a607019.html,contraindication,Who should not get Japanese Encephalitis Vaccine and what are its contraindications ?
https://medlineplus.gov/druginfo/meds/a695013.html,side effects,What are the side effects or risks of Vinorelbine ?
https://medlineplus.gov/druginfo/meds/a608013.html,usage,How should OnabotulinumtoxinA Injection be used and what is the dosage ?
https://medlineplus.gov/druginfo/meds/a603023.html,side effects,What are the side effects or risks of Enfuvirtide Injection ?
https://medlineplus.gov/druginfo/meds/a612011.html,important warning,What important warning or information should I know about Belatacept Injection ?
https://medlineplus.gov/druginfo/meds/a682708.html,usage,How should Fluorouracil Injection be used and what is the dosage ?
https://medlineplus.gov/druginfo/meds/a615005.html,usage,How should Riociguat be used and what is the dosage ?
https://medlineplus.gov/druginfo/meds/a682826.html,side effects,What are the side effects or risks of Heparin Injection ?
https://medlineplus.gov/druginfo/meds/a609029.html,precautions,Are there safety concerns or special precautions about Lacosamide Injection ?
https://medlineplus.gov/druginfo/meds/a697002.html,side effects,What are the side effects or risks of Clomipramine ?
https://medlineplus.gov/druginfo/meds/a698021.html,indication,Who should get Cefepime Injection and why is it prescribed ?
https://medlineplus.gov/druginfo/meds/a699059.html,storage and disposal,What should I know about storage and disposal of Levetiracetam ?
https://medlineplus.gov/druginfo/meds/a611042.html,important warning,What important warning or information should I know about Ketorolac Nasal Spray ?
https://medlineplus.gov/druginfo/meds/a601237.html,emergency or overdose,What to do in case of emergency or overdose of Eprosartan ?
https://medlineplus.gov/druginfo/meds/a615036.html,side effects,"What are the side effects or risks of Ombitasvir, Paritaprevir, and Ritonavir ?"
https://medlineplus.gov/druginfo/meds/a608014.html,emergency or overdose,What to do in case of emergency or overdose of RimabotulinumtoxinB Injection ?
https://medlineplus.gov/druginfo/meds/a604024.html,precautions,Are there safety concerns or special precautions about Oxandrolone ?
https://medlineplus.gov/druginfo/meds/a607009.html,usage,How should Ciprofloxacin and Hydrocortisone Otic be used and what is the dosage ?
https://medlineplus.gov/druginfo/meds/a615038.html,precautions,Are there safety concerns or special precautions about Olopatadine Nasal Spray ?
https://medlineplus.gov/druginfo/meds/a601074.html,precautions,Are there safety concerns or special precautions about Magnesium Oxide ?
https://medlineplus.gov/druginfo/meds/a606001.html,side effects,What are the side effects or risks of Acyclovir Topical ?
https://medlineplus.gov/druginfo/meds/a696018.html,indication,Who should get Anastrozole and why is it prescribed ?
https://medlineplus.gov/druginfo/meds/a601099.html,storage and disposal,What should I know about storage and disposal of Potassium ?
https://medlineplus.gov/druginfo/meds/a603024.html,storage and disposal,What should I know about storage and disposal of Erythromycin and Benzoyl Peroxide Topical ?
https://medlineplus.gov/druginfo/meds/a607076.html,precautions,Are there safety concerns or special precautions about Maraviroc ?
https://medlineplus.gov/druginfo/meds/a615055.html,storage and disposal,What should I know about storage and disposal of Insulin Degludec (rDNA Origin) Injection ?
https://medlineplus.gov/druginfo/meds/a609009.html,usage,How should Bimatoprost Topical be used and what is the dosage ?
https://medlineplus.gov/druginfo/meds/a612019.html,precautions,Are there safety concerns or special precautions about Melphalan Injection ?
https://medlineplus.gov/druginfo/meds/a615015.html,indication,Who should get Lenvatinib and why is it prescribed ?
https://medlineplus.gov/druginfo/meds/a601230.html,side effects,What are the side effects or risks of Alosetron ?
https://medlineplus.gov/druginfo/meds/a697037.html,usage,How should Azithromycin be used and what is the dosage ?
https://medlineplus.gov/druginfo/meds/a601116.html,indication,Who should get Sumatriptan and why is it prescribed ?
https://medlineplus.gov/druginfo/meds/a612017.html,usage,How should Axitinib be used and what is the dosage ?
https://medlineplus.gov/druginfo/meds/a600034.html,precautions,Are there safety concerns or special precautions about Delavirdine ?
